title,location,posted_date,salary_annual,skill
Senior Data Engineer,"Irving, TX",2023-07-22 04:26:40,,Tableau
JD Edwards Business Analyst,"Mount Prospect, IL",2023-07-22 04:26:40,,SQL
JD Edwards Business Analyst,"Mount Prospect, IL",2023-07-22 04:26:40,,Communication
JD Edwards Business Analyst,"Mount Prospect, IL",2023-07-22 04:26:40,,R
"Associate Director, Advanced Analytics (Oncology)","Cambridge, MA",2023-07-22 04:26:40,174250.0,Python
"Associate Director, Advanced Analytics (Oncology)","Cambridge, MA",2023-07-22 04:26:40,174250.0,Tableau
"Associate Director, Advanced Analytics (Oncology)","Cambridge, MA",2023-07-22 04:26:40,174250.0,Machine Learning
"Associate Director, Advanced Analytics (Oncology)","Cambridge, MA",2023-07-22 04:26:40,174250.0,Statistics
"Associate Director, Advanced Analytics (Oncology)","Cambridge, MA",2023-07-22 04:26:40,174250.0,Communication
"Associate Director, Advanced Analytics (Oncology)","Cambridge, MA",2023-07-22 04:26:40,174250.0,R
"People Analytics Manager , People Analytics","Nashville, TN",2023-07-22 04:26:40,163450.0,Python
"People Analytics Manager , People Analytics","Nashville, TN",2023-07-22 04:26:40,163450.0,SQL
